country_code,year,lowb_pct,leave_fathers,leave_mothers
CHE,2019,6.1,2.0,14.0
TUR,2017,8.1,1.0,16.0
TUR,2018,7.6,1.0,16.0
TUR,2019,8.0,1.0,16.0
TUR,2020,7.7,1.0,16.0
TUR,2021,8.4,1.0,16.0
GBR,2017,6.9,2.0,39.0
GBR,2018,6.9,2.0,39.0
GBR,2019,6.9,2.0,39.0
GBR,2020,6.6,2.0,39.0
GBR,2021,6.5,2.0,39.0
USA,2017,8.3,0.0,0.0
USA,2018,8.3,0.0,0.0
USA,2019,8.3,0.0,0.0
USA,2020,8.2,0.0,0.0
USA,2021,8.5,0.0,0.0
DNK,2019,4.6,2.0,50.0
NLD,2021,5.6,6.0,16.0
