date,country,country_name,rgdpmad,debtgdp,year,gov_revenue_gdp,gdp_growth,debt_change,debt_change_lag1,gdp_growth_lag1
1980,CAN,Canada,16175.706391578196,0.4563178663072744,1980,36.903,0.034391215048024115,0.003528166736459004,-0.027436897190213028,3.1246087879130524
1981,CAN,Canada,16472.449799196787,0.4693289035590574,1981,38.94,1.8345004566421297,0.013011037251782986,0.003528166736459004,0.034391215048024115
1982,CAN,Canada,15779.405521012304,0.5266845731086246,1982,39.501,-4.207293308723736,0.05735566954956722,0.013011037251782986,1.8345004566421297
1983,CAN,Canada,16076.413304368663,0.5840257224976494,1983,38.972,1.8822495116235904,0.05734114938902479,0.05735566954956722,-4.207293308723736
1984,CAN,Canada,16835.824728229152,0.6167393648520737,1984,38.819,4.7237615100012675,0.03271364235442431,0.05734114938902479,1.8822495116235904
1985,CAN,Canada,17582.068954883274,0.6686944356084424,1985,38.712,4.432477996773576,0.05195507075636874,0.03271364235442431,4.7237615100012675
1986,CAN,Canada,17862.103969653257,0.7099854407413845,1986,39.485,1.5927307274733682,0.04129100513294204,0.05195507075636874,4.432477996773576
1987,CAN,Canada,18348.15459308392,0.7144908373457096,1987,39.682,2.7211275013091285,0.00450539660432514,0.04129100513294204,1.5927307274733682
1988,CAN,Canada,18993.076728586937,0.7108355166126499,1988,40.251,3.5149155313205727,-0.0036553207330597415,0.00450539660432514,2.7211275013091285
1989,CAN,Canada,19108.487068697887,0.7224708709375305,1989,40.535,0.6076442577481078,0.011635354324880609,-0.0036553207330597415,3.5149155313205727
1990,CAN,Canada,18872.38850546588,0.7518991176916141,1990,42.179,-1.23556910802618,0.02942824675408362,0.011635354324880609,0.6076442577481078
1991,CAN,Canada,18262.46376863137,0.8233953487693455,1991,43.078,-3.231836482477357,0.0714962310777314,0.02942824675408362,-1.23556910802618
1992,CAN,Canada,18146.724685223868,0.902315555047967,1992,43.308,-0.6337539385364965,0.07892020627862151,0.0714962310777314,-3.231836482477357
1993,CAN,Canada,18309.1076884394,0.9632376399920792,1993,42.543,0.8948336740224772,0.06092208494411222,0.07892020627862151,-0.6337539385364965
1994,CAN,Canada,18941.76839984985,0.9796179137160076,1994,42.076,3.4554426254749693,0.016380273723928362,0.06092208494411222,0.8948336740224772
1995,CAN,Canada,19237.79770856229,1.016010098392697,1995,42.245,1.5628388145363825,0.036392184676689365,0.016380273723928362,3.4554426254749693
1996,CAN,Canada,19330.596623229223,1.0171927577240745,1996,42.811,0.482378056328292,0.0011826593313775113,0.036392184676689365,1.5628388145363825
1997,CAN,Canada,19961.8228974183,0.9631791266441836,1997,43.502,3.265425721162396,-0.05401363107989088,0.0011826593313775113,0.482378056328292
1998,CAN,Canada,20612.3873465468,0.951645567683418,1998,43.549,3.2590432871370645,-0.011533558960765578,-0.05401363107989088,3.265425721162396
1999,CAN,Canada,21563.04067519223,0.9136915092102222,1999,43.429,4.61204863203144,-0.03795405847319577,-0.011533558960765578,3.2590432871370645
2000,CAN,Canada,22487.70818622514,0.8212687062792537,2000,43.197,4.288205568784731,-0.0924228029309685,-0.03795405847319577,4.61204863203144
2001,CAN,Canada,22686.64558523288,0.8265914473019219,2001,41.632,0.8846495043438818,0.005322741022668165,-0.0924228029309685,4.288205568784731
2002,CAN,Canada,23155.136569813305,0.8055399187270418,2002,40.16,2.0650518068893176,-0.02105152857488013,0.005322741022668165,0.8846495043438818
2003,CAN,Canada,23406.98027019085,0.7656183155768953,2003,40.149,1.0876364283934459,-0.03992160315014648,-0.02105152857488013,2.0650518068893176
2004,CAN,Canada,23952.908626048556,0.7260071608622163,2004,39.902,2.332331422319167,-0.03961115471467902,-0.03992160315014648,1.0876364283934459
2005,CAN,Canada,24484.344653524106,0.7160815084671124,2005,40.074,2.218670123834632,-0.009925652395103901,-0.03961115471467902,2.332331422319167
2006,CAN,Canada,24967.16720744424,0.7025527352704934,2006,40.488,1.9719643745933046,-0.013528773196618937,-0.009925652395103901,2.218670123834632
2007,CAN,Canada,25300.08385970836,0.6651826078770181,2007,40.339,1.3334178022601506,-0.03737012739347534,-0.013528773196618937,1.9719643745933046
2008,CAN,Canada,25262.071135439157,0.7111408254117143,2008,38.96,-0.15024742400060465,0.0459582175346962,-0.03737012739347534,1.3334178022601506
2009,CAN,Canada,24361.021416833475,0.8330140583458961,2009,39.539,-3.5668085715332976,0.12187323293418184,0.0459582175346962,-0.15024742400060465
2010,CAN,Canada,24941.23562562982,0.8395317516594774,2010,38.326,2.3817318611912386,0.006517693313581208,0.12187323293418184,-3.5668085715332976
2011,CAN,Canada,25470.997020197392,0.8177793009605633,2011,38.267,2.12403828951917,-0.021752450698914072,0.006517693313581208,2.3817318611912386
2012,CAN,Canada,25645.574336158857,0.8540521814513018,2012,38.402,0.685396475933131,0.03627288049073851,-0.021752450698914072,2.12403828951917
2013,CAN,Canada,25966.337119654458,0.8612908838862671,2013,38.466,1.2507529731683231,0.007238702434965272,0.03627288049073851,0.685396475933131
2014,CAN,Canada,26441.103335942946,0.8557941308277416,2014,38.545,1.8283911746995285,-0.005496753058525483,0.007238702434965272,1.2507529731683231
2015,CAN,Canada,26402.305924722383,0.911923036151285,2015,39.957,-0.14673143827482749,0.05612890532354342,-0.005496753058525483,1.8283911746995285
2016,CAN,Canada,26389.803801027017,0.9173260397870192,2016,40.3,-0.047352393124344694,0.005403003635734205,0.05612890532354342,-0.14673143827482749
2017,CAN,Canada,26862.50104274103,0.8884123961000466,2017,40.343,1.7912116561306757,-0.02891364368697258,0.005403003635734205,-0.047352393124344694
2018,CAN,Canada,27137.2663834969,0.8883185847054099,2018,41.022,1.0228583716709316,-9.38113946367114e-05,-0.02891364368697258,1.7912116561306757
2019,CAN,Canada,27251.07653688964,0.8682055574212624,2019,40.572,0.41938694850249814,-0.020113027284147544,-9.38113946367114e-05,1.0228583716709316
2020,CAN,Canada,25505.010962201755,1.17459527734755,2020,41.413,-6.407326963117377,0.3063897199262877,-0.020113027284147544,0.41938694850249814
1991,DEU,Germany,16649.52350172438,0.44,1991,43.328,4.5243606629301825,0.030000000000000027,0.019999999999999962,-3.8004063081987005
1992,DEU,Germany,16890.560511864,0.411883,1992,44.721,1.4477111619119798,-0.028117000000000003,0.030000000000000027,4.5243606629301825
1993,DEU,Germany,16644.680242702154,0.448943,1993,45.211,-1.4557259304043835,0.03705999999999998,-0.028117000000000003,1.4477111619119798
1994,DEU,Germany,17027.786172939646,0.4729399999999999,1994,45.771,2.301671913495995,0.023996999999999935,0.03705999999999998,-1.4557259304043835
1995,DEU,Germany,17298.81910831468,0.5490240000000001,1995,45.804,1.5917097655698598,0.07608400000000015,0.023996999999999935,2.301671913495995
1996,DEU,Germany,17420.220809056824,0.577939,1996,45.918,0.7017918389804478,0.028914999999999913,0.07608400000000015,1.5917097655698598
1997,DEU,Germany,17708.525215602687,0.588666,1997,45.726,1.6549985772624343,0.010727000000000042,0.028914999999999913,0.7017918389804478
1998,DEU,Germany,18028.880735795392,0.5953470000000001,1998,45.641,1.8090468646730917,0.006681000000000048,0.010727000000000042,1.6549985772624343
1999,DEU,Germany,18380.04362314571,0.601394,1999,46.62,1.9477797457115642,0.0060469999999999136,0.006681000000000048,1.8090468646730917
2000,DEU,Germany,18943.516375383148,0.590658,2000,46.342,3.0656769036601528,-0.010735999999999968,0.0060469999999999136,1.9477797457115642
2001,DEU,Germany,19156.68989625507,0.579365,2001,44.528,1.125311249757921,-0.011292999999999997,-0.010735999999999968,3.0656769036601528
2002,DEU,Germany,19140.37834615822,0.597035,2002,44.158,-0.08514806151368459,0.017669999999999964,-0.011292999999999997,1.125311249757921
2003,DEU,Germany,19087.572240241872,0.633089,2003,44.684,-0.275888516733247,0.03605400000000003,0.017669999999999964,-0.08514806151368459
2004,DEU,Germany,19283.670487293424,0.649877,2004,43.551,1.0273608638301512,0.016788000000000025,0.03605400000000003,-0.275888516733247
2005,DEU,Germany,19417.057021603057,0.6734650000000001,2005,43.496,0.6917071850897072,0.023588000000000053,0.016788000000000025,1.0273608638301512
2006,DEU,Germany,20040.620318052523,0.6670470000000001,2006,43.554,3.2114202258133107,-0.006418000000000035,0.023588000000000053,0.6917071850897072
2007,DEU,Germany,20546.93610742278,0.639942,2007,43.695,2.526447691412881,-0.027105000000000046,-0.006418000000000035,3.2114202258133107
2008,DEU,Germany,20801.43744384757,0.655222,2008,44.155,1.2386339992211726,0.01527999999999996,-0.027105000000000046,2.526447691412881
