country,year,gdp_growth
KHM,2022,5.5
KHM,2023,5.0
KHM,2024,6.0
KHM,2025,5.0
KHM,2026,4.0
KHM,2027,4.7
KHM,2028,5.0
KHM,2029,5.3
KHM,2030,5.4
KHM,2031,5.5
LAO,1980,10.0
LAO,1981,15.3
LAO,1982,4.7
LAO,1983,3.0
LAO,1984,6.4
LAO,1985,9.1
LAO,1986,4.8
LAO,1987,-1.0
LAO,1988,-2.1
LAO,1989,9.9
LAO,1990,6.7
LAO,1991,4.0
LAO,1992,7.0
LAO,1993,5.9
LAO,1994,8.2
LAO,1995,7.0
LAO,1996,6.9
LAO,1997,6.9
LAO,1998,4.3
LAO,1999,4.0
LAO,2000,6.4
LAO,2001,4.8
LAO,2002,6.8
LAO,2003,6.2
LAO,2004,7.2
LAO,2005,6.9
LAO,2006,9.0
LAO,2007,7.9
LAO,2008,7.8
LAO,2009,7.4
LAO,2010,8.0
LAO,2011,8.0
LAO,2012,7.8
LAO,2013,8.0
LAO,2014,7.6
LAO,2015,7.3
LAO,2016,7.0
LAO,2017,6.9
LAO,2018,6.2
LAO,2019,4.7
LAO,2020,-0.4
LAO,2021,2.1
LAO,2022,2.3
LAO,2023,3.7
LAO,2024,4.3
LAO,2025,4.8
LAO,2026,4.0
LAO,2027,4.0
LAO,2028,3.5
LAO,2029,3.0
LAO,2030,3.0
LAO,2031,3.0
ZMB,1980,3.9
ZMB,1981,6.6
ZMB,1982,-2.9
ZMB,1983,-1.1
ZMB,1984,-1.7
ZMB,1985,1.2
ZMB,1986,1.7
ZMB,1987,1.5
ZMB,1988,9.3
ZMB,1989,-3.7
ZMB,1990,-0.6
ZMB,1991,-0.7
ZMB,1992,2.1
ZMB,1993,-0.1
ZMB,1994,-13.3
ZMB,1995,2.9
ZMB,1996,6.2
ZMB,1997,3.8
ZMB,1998,-0.4
ZMB,1999,4.7
ZMB,2000,3.9
ZMB,2001,5.3
ZMB,2002,4.5
ZMB,2003,6.9
ZMB,2004,7.0
ZMB,2005,7.2
ZMB,2006,7.9
ZMB,2007,8.4
ZMB,2008,7.8
ZMB,2009,9.2
ZMB,2010,10.3
ZMB,2011,5.6
ZMB,2012,7.6
ZMB,2013,5.1
ZMB,2014,4.7
ZMB,2015,2.9
ZMB,2016,3.8
ZMB,2017,3.5
ZMB,2018,4.0
ZMB,2019,1.4
ZMB,2020,-2.8
ZMB,2021,6.2
ZMB,2022,5.2
ZMB,2023,5.4
ZMB,2024,3.8
ZMB,2025,3.8
ZMB,2026,4.3
ZMB,2027,4.7
