ref_area.label,sex.label,classif1.label,time,obs_value
Australia,Female,"Occupation (ISCO-08), 2 digit level: 32 - Health associate professionals",2025,199.011
Australia,Female,"Occupation (ISCO-08), 2 digit level: 33 - Business and administration associate professionals",2025,569.092
Australia,Female,"Occupation (ISCO-08), 2 digit level: 34 - Legal, social, cultural and related associate professionals",2025,240.543
Australia,Female,"Occupation (ISCO-08), 2 digit level: 35 - Information and communications technicians",2025,20.038
Australia,Female,"Occupation (ISCO-08), 2 digit level: 41 - General and keyboard clerks",2025,293.28
Australia,Female,"Occupation (ISCO-08), 2 digit level: 42 - Customer services clerks",2025,221.355
Australia,Female,"Occupation (ISCO-08), 2 digit level: 43 - Numerical and material recording clerks",2025,332.228
Australia,Female,"Occupation (ISCO-08), 2 digit level: 44 - Other clerical support workers",2025,50.932
Australia,Female,"Occupation (ISCO-08), 2 digit level: 51 - Personal service workers",2025,394.03
Australia,Female,"Occupation (ISCO-08), 2 digit level: 52 - Sales workers",2025,564.236
Australia,Female,"Occupation (ISCO-08), 2 digit level: 53 - Personal care workers",2025,642.282
Australia,Female,"Occupation (ISCO-08), 2 digit level: 54 - Protective services workers",2025,54.252
Australia,Female,"Occupation (ISCO-08), 2 digit level: 61 - Market-oriented skilled agricultural workers",2025,51.112
Australia,Female,"Occupation (ISCO-08), 2 digit level: 62 - Market-oriented skilled forestry, fishery and hunting workers",2025,0.502
Australia,Female,"Occupation (ISCO-08), 2 digit level: 71 - Building and related trades workers, excluding electricians",2025,19.68
Australia,Female,"Occupation (ISCO-08), 2 digit level: 72 - Metal, machinery and related trades workers",2025,11.553
Australia,Female,"Occupation (ISCO-08), 2 digit level: 73 - Handicraft and printing workers",2025,8.609
Australia,Female,"Occupation (ISCO-08), 2 digit level: 74 - Electrical and electronic trades workers",2025,9.08
Australia,Female,"Occupation (ISCO-08), 2 digit level: 75 - Food processing, wood working, garment and other craft and related trades workers",2025,44.334
Australia,Female,"Occupation (ISCO-08), 2 digit level: 81 - Stationary plant and machine operators",2025,71.036
Australia,Female,"Occupation (ISCO-08), 2 digit level: 82 - Assemblers",2025,7.344
Australia,Female,"Occupation (ISCO-08), 2 digit level: 83 - Drivers and mobile plant operators",2025,53.802
Australia,Female,"Occupation (ISCO-08), 2 digit level: 91 - Cleaners and helpers",2025,131.382
Australia,Female,"Occupation (ISCO-08), 2 digit level: 92 - Agricultural, forestry and fishery labourers",2025,27.174
Australia,Female,"Occupation (ISCO-08), 2 digit level: 93 - Labourers in mining, construction, manufacturing and transport",2025,86.416
Australia,Female,"Occupation (ISCO-08), 2 digit level: 94 - Food preparation assistants",2025,91.137
Australia,Female,"Occupation (ISCO-08), 2 digit level: 96 - Refuse workers and other elementary workers",2025,16.389
Australia,Male,"Occupation (ISCO-08), 2 digit level: 01 - Commissioned armed forces officers",2024,1.038
Australia,Male,"Occupation (ISCO-08), 2 digit level: 02 - Non-commissioned armed forces officers",2024,0.293
Australia,Male,"Occupation (ISCO-08), 2 digit level: 03 - Armed forces occupations, other ranks",2024,3.302
Australia,Male,"Occupation (ISCO-08), 2 digit level: 11 - Chief executives, senior officials and legislators",2024,84.925
Australia,Male,"Occupation (ISCO-08), 2 digit level: 12 - Administrative and commercial managers",2024,239.028
Australia,Male,"Occupation (ISCO-08), 2 digit level: 13 - Production and specialised services managers",2024,394.967
Australia,Male,"Occupation (ISCO-08), 2 digit level: 14 - Hospitality, retail and other services managers",2024,243.524
Australia,Male,"Occupation (ISCO-08), 2 digit level: 21 - Science and engineering professionals",2024,340.207
Australia,Male,"Occupation (ISCO-08), 2 digit level: 22 - Health professionals",2024,213.29
Australia,Male,"Occupation (ISCO-08), 2 digit level: 23 - Teaching professionals",2024,200.143
Australia,Male,"Occupation (ISCO-08), 2 digit level: 24 - Business and administration professionals",2024,352.406
Australia,Male,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2024,311.682
Australia,Male,"Occupation (ISCO-08), 2 digit level: 26 - Legal, social and cultural professionals",2024,163.226
Australia,Male,"Occupation (ISCO-08), 2 digit level: 31 - Science and engineering associate professionals",2024,176.556
Australia,Male,"Occupation (ISCO-08), 2 digit level: 32 - Health associate professionals",2024,68.264
Australia,Male,"Occupation (ISCO-08), 2 digit level: 33 - Business and administration associate professionals",2024,362.779
Australia,Male,"Occupation (ISCO-08), 2 digit level: 34 - Legal, social, cultural and related associate professionals",2024,205.27
Australia,Male,"Occupation (ISCO-08), 2 digit level: 35 - Information and communications technicians",2024,68.399
Australia,Male,"Occupation (ISCO-08), 2 digit level: 41 - General and keyboard clerks",2024,56.463
Australia,Male,"Occupation (ISCO-08), 2 digit level: 42 - Customer services clerks",2024,82.882
Australia,Male,"Occupation (ISCO-08), 2 digit level: 43 - Numerical and material recording clerks",2024,167.435
