"Area","Year","Total","Male","Female"
"Réunion","2012",28.59,29.35,27.83
"Romania","2025",16.513,13.211,19.989
"Russian Federation","2025",6.682,5.456,7.983
"Rwanda","2025",15.286,12.717,17.802
"Saudi Arabia","2025",16.39,12.594,21.711
"Sudan","2022",46.529,29.563,62.055
"Senegal","2024",35.174,26.637,43.655
"Singapore","2025",6.455,7.702,5.072
"Solomon Islands","2013",7.044,5.096,8.944
"Sierra Leone","2018",25.913,24.389,27.204
"El Salvador","2024",20.536,11.136,29.891
"Somalia","2022",50.951,42.073,58.305
"Serbia","2025",12.725,13.114,12.314
"South Sudan","2008",29.061,25.725,32.283
"Sao Tome and Principe","2017",43.795,41.34,46.206
"Suriname","2016",18.193,14.727,21.849
"Slovakia","2025",8.017,8.125,7.903
"Slovenia","2025",6.825,7.696,5.826
"Sweden","2025",4.952,4.749,5.152
"Eswatini","2023",36.472,33.854,39.031
"Seychelles","2025",17.796,18.653,16.968
"Chad","2022",42.318,32.979,51.176
"Togo","2022",13.02,10.347,15.486
"Thailand","2025",12.409,10.5,14.327
"Tajikistan","2016",41.328,26.314,57.628
"Tokelau","2022",41.593,33.871,50.98
"Timor-Leste","2022",29.122,29.053,29.192
"Tonga","2023",25.611,23.255,27.826
"Trinidad and Tobago","2024",15.847,13.631,18.035
"Tunisia","2023",22.648,24.43,20.791
"Türkiye","2025",23.331,16.297,30.857
"Tuvalu","2022",34.349,33.298,35.537
"Tanzania, United Republic of","2024",12.828,7.771,17.659
"Uganda","2021",13.765,9.343,17.767
"Ukraine","2017",16.47,13.46,19.65
"Uruguay","2025",12.623,11.182,14.128
"United States of America","2025",11.59,11.345,11.84
"Venezuela, Bolivarian Republic of","2020",37.13,44.04,30.1
"Viet Nam","2024",10.253,9.189,11.379
"Vanuatu","2025",29.266,28.02,30.622
"Wallis and Futuna","2023",20.221,21.113,19.266
"Samoa","2022",30.09,27.611,32.725
"World","2027",20.217,13.21,27.678
"World: Low income","2027",27.886,19.63,36.272
"World: Lower-middle income","2027",22.761,12.154,33.992
"World: Upper-middle income","2027",17.111,13.306,21.281
"World: High income","2027",10.97,10.489,11.482
"Africa","2027",22.97,16.98,29.078
"Africa: Low income","2027",25.036,18.738,31.399
"Africa: Lower-middle income","2027",20.432,14.548,26.475
"Africa: Upper-middle income","2027",28.988,24.284,33.813
"Northern Africa","2027",30.218,18.152,42.754
"Northern Africa: Lower-middle income","2027",26.582,15.202,38.491
"Northern Africa: Upper-middle income","2027",21.53,12.147,31.344
"Sub-Saharan Africa","2027",21.645,16.763,26.607
"Sub-Saharan Africa: Low income","2027",23.133,17.653,28.668
"Sub-Saharan Africa: Lower-middle income","2027",19.034,14.398,23.776
"Sub-Saharan Africa: Upper-middle income","2027",34.265,33.014,35.53
"Central Africa","2027",28.894,24.588,33.196
"Eastern Africa","2027",19.79,14.553,25.065
"Southern Africa","2027",34.992,33.708,36.289
"Western Africa","2027",18.79,13.647,24.113
"Americas","2027",16.919,12.703,21.311
"Americas: Lower-middle income","2027",19.868,11.156,28.808
"Americas: Upper-middle income","2027",19.528,13.369,25.897
"Americas: High income","2027",12.29,11.859,12.745
"Latin America and the Caribbean","2027",19.392,13.241,25.751
"Latin America and the Caribbean: Lower-middle income","2027",19.868,11.156,28.808
"Latin America and the Caribbean: Upper-middle income","2027",19.528,13.369,25.897
"Latin America and the Caribbean: High income","2027",16.298,14.23,18.449
"Caribbean","2027",20.621,16.033,25.344
"Central America","2027",18.579,9.249,28.183
"South America","2027",19.667,14.913,24.596
"Northern America","2027",11.881,11.619,12.157
"Northern America: High income","2027",11.881,11.619,12.157
"Arab States","2027",32.516,20.613,45.578
"Arab States: Lower-middle income","2027",28.342,24.521,32.238
"Arab States: High income","2027",15.405,11.3,20.764
"Asia and the Pacific","2027",20.142,11.482,29.612
