e,c,C,F,a,d,y,f,p,s,r,t,u
1,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2018-12-09,2018.0,4800.0,Betting place,Industry and Commerce,Art. 13 GDPR,Insufficient fulfilment of information obligations,https://www.dsb.gv.at/documents/22758/116802/Straferkenntnis+DSB-D550.038+0003-DSB+2018.pdf/fb0bb313-8651-44ac-a713-c286d83e3f19
2,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2018,2018.0,1800.0,Kebab restaurant,Accomodation and Hospitality,"Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient legal basis for data processing,https://www.dsb.gv.at/documents/22758/115212/Newsletter_DSB_1_2020.pdf/a640bbb8-9297-4230-86e4-163bc9ccb844
3,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2018-09-27,2018.0,300.0,Private car owner,Individuals and Private Associations,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20180927_DSB_D550_084_0002_DSB_2018_00/DSBT_20180927_DSB_D550_084_0002_DSB_2018_00.pdf
4,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2018-12-20,2018.0,2200.0,Private person,Individuals and Private Associations,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20181220_DSB_D550_037_0003_DSB_2018_00/DSBT_20181220_DSB_D550_037_0003_DSB_2018_00.pdf
5,BELGIUM,Belgium,/flags/flag_belgium.png,Belgian Data Protection Authority (APD),2019-05-28,2019.0,2000.0,Mayor,Public Sector and Education,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://www.autoriteprotectiondonnees.be/news/lautorite-de-protection-des-donnees-prononce-une-sanction-dans-le-cadre-dune-campagne
6,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Bulgarian Commission for Personal Data Protection (KZLD),2018-12-04,2018.0,500.0,Bank,"Finance, Insurance and Consulting","Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://gdprtoolkit.eu/first-gdpr-fine-in-bulgaria/
7,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Bulgarian Commission for Personal Data Protection (KZLD),2019-02-26,2019.0,27100.0,Telecommunication service provider,"Media, Telecoms and Broadcasting","Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,https://www.cpdp.bg/?p=element_view&aid=2180
8,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Bulgarian Commission for Personal Data Protection (KZLD),2019-01-17,2019.0,500.0,Bank,"Finance, Insurance and Consulting","Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,https://www.cpdp.bg/?p=element&aid=1195
9,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Bulgarian Commission for Personal Data Protection (KZLD),2019-02-22,2019.0,500.0,Employer,Employment,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.cpdp.bg/?p=element_view&aid=2177
10,CYPRUS,Cyprus,/flags/flag_cyprus.png,Cypriot Data Protection Commissioner,2019,2019.0,5000.0,State Hospital,Health Care,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.agplaw.com/cyprus-gdpr-commissioner-fines-newspaper-and-hospital/
11,CYPRUS,Cyprus,/flags/flag_cyprus.png,Cypriot Data Protection Commissioner,2019,2019.0,10000.0,Newspaper,"Media, Telecoms and Broadcasting",Art. 6 GDPR,Insufficient legal basis for data processing,https://www.agplaw.com/cyprus-gdpr-commissioner-fines-newspaper-and-hospital/
12,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-01-10,2019.0,388.0,Employer,Employment,Art. 6 GDPR,Insufficient legal basis for data processing,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34464
13,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-02-04,2019.0,1165.0,Car renting company,Industry and Commerce,Art. 5 (1) a) GDPR,Insufficient fulfilment of information obligations,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34465
14,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-02-28,2019.0,582.0,Unknown,Not assigned,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34466
15,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-02-04,2019.0,1165.0,Credit brokerage,"Finance, Insurance and Consulting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34467
16,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2018-10-25,2018.0,388.0,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34468
17,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-02-26,2019.0,776.0,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34469
18,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-03-21,2019.0,10000.0,Unknown,Not assigned,Art. 5 (1) GDPR,Non-compliance with general data processing principles,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34470
19,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),Unknown,,3140.0,"UniCredit Bank Czech Republic and Slovakia, a.s.","Finance, Insurance and Consulting",Art. 6 GDPR,Insufficient legal basis for data processing,https://www.uoou.cz/kontrola-zpracovani-osobnich-udaju-bankou-unicredit-bank-czech-republic-and-slovakia-a-s/ds-5705/archiv=0&p1=5653
20,CZECH REPUBLIC,Czech Republic,/flags/flag_czech%20republic.png,Czech Data Protection Auhtority (UOOU),2019-05-06,2019.0,194.0,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34472
21,DENMARK,Denmark,/flags/flag_denmark.png,Danish Data Protection Authority (Datatilsynet),2019,2019.0,160000.0,Taxa 4x35,Transportation and Energy,Art. 5 (1) e) GDPR,Non-compliance with general data processing principles,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2019/mar/datatilsynet-indstiller-taxaselskab-til-boede-paa-1-2-mio-kr/
22,DENMARK,Denmark,/flags/flag_denmark.png,Danish Data Protection Authority (Datatilsynet),2021-02-12,2021.0,13450.0,IDdesign A / S,Industry and Commerce,"Art. 5 (1) e) GDPR, Art. 5 (2) GDPR",Non-compliance with general data processing principles,https://www.datatilsynet.dk/tilsyn-og-afgoerelser/afgoerelser/2019/jun/tilsyn-med-iddesigns-behandling-af-personoplysninger/
23,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2019-01-21,2019.0,50000000.0,Google LLC,"Media, Telecoms and Broadcasting","Art. 13 GDPR, Art. 14 GDPR, Art. 6 GDPR, Art. 5 GDPR",Insufficient legal basis for data processing,https://www.cnil.fr/en/cnils-restricted-committee-imposes-financial-penalty-50-million-euros-against-google-llc
24,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2019-05-28,2019.0,400000.0,SERGIC (Real Estate),Real Estate,Art. 5 (1) e) GDPR,Insufficient technical and organisational measures to ensure information security,https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000038552658&fastReqId=119744754&fastPos=1
25,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Baden-Wuerttemberg,2018-11-21,2018.0,20000.0,Knuddels.de,"Media, Telecoms and Broadcasting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.baden-wuerttemberg.datenschutz.de/lfdi-baden-wuerttemberg-verhaengt-sein-erstes-bussgeld-in-deutschland-nach-der-ds-gvo/
26,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Hamburg,2018-12-17,2018.0,5000.0,"Kolibri Image
Regina und Dirk Maass GbR",Industry and Commerce,Art. 28 (3) GDPR,Insufficient data processing agreement,https://www.heise.de/newsticker/meldung/DSGVO-5000-Euro-Bussgeld-fuer-fehlenden-Auftragsverarbeitungsvertrag-4282737.html
27,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Baden-Wuerttemberg,2019-04-12,2019.0,80000.0,Company in the financial sector,"Finance, Insurance and Consulting","Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2019/07/PM-Datenschutzverletzungen-bereiten-zunehmend-Sorge-30.07.2019.pdf
28,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Sachsen-Anhalt,2019-02-05,2019.0,2500.0,Private person,Individuals and Private Associations,"Art. 6 GDPR, Art. 5 GDPR",Insufficient legal basis for data processing,"https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2020/01/35.-T%C3%A4tigkeitsbericht-f%C3%BCr-den-Datenschutz-Web.pdf#page=44&zoom=100,0,0"
29,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Hamburg,2018,2018.0,20000.0,Unknown,Not assigned,"Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,https://datenschutz-hamburg.de/assets/pdf/27._Taetigkeitsbericht_Datenschutz_2018_HmbBfDI.pdf
30,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Saarland,Unknown,,118.0,Unknown,Not assigned,Art. 6 GDPR,Insufficient legal basis for data processing,https://indd.adobe.com/view/d639298c-3165-4e30-85d8-0730de2a3598
31,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Hamburg,2018,2018.0,500.0,Unknown,Not assigned,Unknown,Unknown,https://www.pingdigital.de/blog/2019/03/29/implodierende-aufsichtsbehoerden/1626
32,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Berlin,2019-03,2019.0,50000.0,N26,"Finance, Insurance and Consulting",Art. 6 GDPR,Insufficient legal basis for data processing,https://www.zaftda.de/tb-bundeslaender/berlin/695-tb-lfd-berlin-2018-ohne-drs-nr-vom-28-03-2019/file
33,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-02-08,2019.0,1560.0,Bank,"Finance, Insurance and Consulting",Art. 5 (1) d) GDPR,Non-compliance with general data processing principles,http://www.cms-lawnow.com/ealerts/2019/03/hungary-fines-two-companies-for-gdpr-infringement?cc_lang=en
34,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-02-20,2019.0,1560.0,Debt collector,"Finance, Insurance and Consulting","Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR",Non-compliance with general data processing principles,http://www.cms-lawnow.com/ealerts/2019/03/hungary-fines-two-companies-for-gdpr-infringement?cc_lang=en
35,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2018-12-18,2018.0,3200.0,Unknown,Not assigned,"Art. 12 (4) GDPR, Art. 15 GDPR, Art. 18 (1) c) GDPR, Art. 13 GDPR",Insufficient fulfilment of data subjects rights,https://www.naih.hu/files/NAIH-2018-5559-H-hatarozat.pdf
36,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-02-28,2019.0,3200.0,Mayor's Office of the city of Kecdkemét,Public Sector and Education,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://www.naih.hu/files/NAIH-2019-596-hatarozat.pdf
37,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-03-04,2019.0,3200.0,Unnamed financial institution,"Finance, Insurance and Consulting","Art. 5 (1) b) GDPR, Art. 5 (1) c) GDPR, Art. 13 (3) GDPR, Art. 17 (1) GDPR, Art. 6 (4) GDPR",Insufficient fulfilment of data subjects rights,https://www.naih.hu/files/NAIH-2019-2526-2-H-hatarozat.pdf
38,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-04-05,2019.0,34375.0,Hungarian political party,Public Sector and Education,"Art. 33 (1) GDPR, Art. 33 (5) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,http://www.cms-lawnow.com/ealerts/2019/04/hungarian-data-authority-investigates-two-cases-of-privacy-breaches?cc_lang=en
39,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2019-04-17,2019.0,50000.0,Italian political party Movimento 5 Stelle,Public Sector and Education,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9101974
40,LITHUANIA,Lithuania,/flags/flag_lithuania.png,Lithuanian Data Protection Authority (VDAI),2019-05-16,2019.0,61500.0,Payment service provider UAB MisterTango,"Finance, Insurance and Consulting","Art. 5 GDPR, Art. 32 GDPR, Art. 33 GDPR",Insufficient fulfilment of data breach notification obligations,https://www.ada.lt/go.php/lit/Imones-atsakomybes-neisvengs--lietuvoje-skirta-zenkli-bauda-uz-bendrojo-duomenu-apsaugos-reglamento-pazeidimus-/1
41,MALTA,Malta,/flags/flag_malta.png,Data Protection Commissioner of Malta,2019-02-18,2019.0,5000.0,Lands Authority,Public Sector and Education,"Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.gvzh.com.mt/malta-news/idpc-fines-lands-authority-data-breach/
42,NORWAY,Norway,/flags/flag_norway.png,Norwegian Supervisory Authority (Datatilsynet),2019-03,2019.0,170000.0,Bergen Municipality,Public Sector and Education,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.datatilsynet.no/en/about-privacy/reports-on-specific-subjects/administrative-fine-of-170.000--imposed-on-bergen-municipality/
43,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2019-03-26,2019.0,220000.0,Private company working with data from publicly available sources,Not assigned,Art. 14 GDPR,Insufficient fulfilment of information obligations,https://uodo.gov.pl/en/553/1009
44,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2019-04-25,2019.0,12950.0,Sports association,Individuals and Private Associations,Art. 6 GDPR,Insufficient legal basis for data processing,https://uodo.gov.pl/pl/138/990
45,PORTUGAL,Portugal,/flags/flag_portugal.png,Portuguese Data Protection Authority (CNPD),2018-07-17,2018.0,400000.0,Public Hospital,Health Care,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.cnpd.pt/bin/decisoes/Delib/20_984_2018.pdf
46,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),Unknown,,5000.0,"Vodafone España, S.A.U.","Media, Telecoms and Broadcasting",Art. 5 (1) d) GDPR,Non-compliance with general data processing principles,https://www.aepd.es/resoluciones/PS-00331-2018_ORI.pdf
47,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2019-06-11,2019.0,250000.0,Professional Football League (LaLiga),Individuals and Private Associations,"Art. 5 (1) a) GDPR, Art. 7 (3) GDPR",Insufficient fulfilment of information obligations,https://www.eldiario.es/tecnologia/Agencia-Proteccion-Datos-Liga-microfono_0_908859408.html#click=https://t.co/RI3qZzucaB
48,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),Unknown,,60000.0,"Debt collecting agancy (GESTIÓN DE COBROS, YO COBRO SL)","Finance, Insurance and Consulting",Art. 5 (1) f) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/resoluciones/PS-00121-2019_ORI.pdf
49,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),Unknown,,27000.0,"Vodafone España, S.A.U.","Media, Telecoms and Broadcasting",Art. 5 (1) d) GDPR,Insufficient fulfilment of data subjects rights,https://www.aepd.es/resoluciones/PS-00411-2018_ORI.pdf
50,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Baden-Wuerttemberg,2019-05-09,2019.0,1400.0,Police Officer,Individuals and Private Associations,Art. 6 GDPR,Insufficient legal basis for data processing,https://www.baden-wuerttemberg.datenschutz.de/lfdi-baden-wuerttemberg-verhaengt-erstes-bussgeld-gegen-polizeibeamten/
51,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2019-06-13,2019.0,20000.0,Employer UNIONTRAD COMPANY,Employment,"Art. 5 (1) c) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 32 GDPR",Insufficient legal basis for data processing,https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000038629823&fastReqId=946473298&fastPos=1
52,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-04-17,2019.0,9400.0,Unknown,Not assigned,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,http://www.naih.hu/files/NAIH-2019-167-hatarozat.pdf
53,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-04-05,2019.0,1900.0,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,http://www.naih.hu/files/NAIH_2019_133_hatarozat.pdf
54,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Data Protection Commision of Bulgaria (KZLD),2019-04-08,2019.0,510.0,Medical centers,Health Care,"Art. 5 (1) a) GDPR, Art. 9 (1) GDPR, Art. 9 (2) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,https://www.cpdp.bg/?p=element_view&aid=2192
55,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Data Protection Commision of Bulgaria (KZLD),2019-03-26,2019.0,5100.0,A.P. EOOD,Employment,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://www.cpdp.bg/?p=element_view&aid=2191
56,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),Unknown,,60000.0,ENDESA (energy supplyer),Transportation and Energy,Art. 5 (1) f) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/resoluciones/PS-00074-2019_ORI.pdf
57,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-06-27,2019.0,130000.0,UNICREDIT BANK SA,"Finance, Insurance and Consulting","Art. 25 (1) GDPR, Art. 5 (1) c) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ro/?page=Comunicat_Amenda_Unicredit&lang=ro
58,UNITED KINGDOM,United Kingdom,/flags/flag_united%20kingdom.png,Information Commissioner (ICO),2020-10-16,2020.0,22046000.0,British Airways,Transportation and Energy,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://ico.org.uk/action-weve-taken/enforcement/british-airways/
59,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-07-02,2019.0,15000.0,WORLD TRADE CENTER BUCHAREST SA,Accomodation and Hospitality,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ro/index.jsp?page=O_noua_amenda_GDPR&lang=ro
60,UNITED KINGDOM,United Kingdom,/flags/flag_united%20kingdom.png,Information Commissioner (ICO),2020-10-30,2020.0,20450000.0,"Marriott International, Inc",Accomodation and Hospitality,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://ico.org.uk/media/action-weve-taken/mpns/2618524/marriott-international-inc-mpn-20201030.pdf
61,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-05-23,2019.0,92146.0,Organizer of SZIGET festival and VOLT festival,"Media, Telecoms and Broadcasting","Art. 6 GDPR, Art. 5 (1) b) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,http://www.naih.hu/files/NAIH-2019-55_hatarozat.pdf
62,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-07-05,2019.0,3000.0,LEGAL COMPANY & TAX HUB SRL,Industry and Commerce,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ro/?page=2019%20A%20treia%20amenda%20in%20aplicarea%20RGPD&lang=ro
63,THE NETHERLANDS,The Netherlands,/flags/flag_the%20netherlands.png,Dutch Supervisory Authority for Data Protection (AP),2019-06-18,2019.0,350000.0,Haga Hospital,Health Care,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://autoriteitpersoonsgegevens.nl/nl/nieuws/haga-beboet-voor-onvoldoende-interne-beveiliging-pati%C3%ABntendossiers
64,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2019-07-25,2019.0,180000.0,ACTIVE ASSURANCES (car insurer),"Finance, Insurance and Consulting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.legifrance.gouv.fr/affichCnil.do?id=CNILTEXT000038810992
65,GREECE,Greece,/flags/flag_greece.png,Hellenic Data Protection Authority (HDPA),2019-07-30,2019.0,150000.0,PWC Business Solutions,Employment,"Art. 5 (1) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 13 (1) c) GDPR, Art. 14 (1) c) GDPR",Insufficient legal basis for data processing,https://www.dpa.gr/pls/portal/docs/PAGE/APDPX/ENGLISH_INDEX/DECISIONS/SUMMARY%20OF%20DECISION%2026_2019%20(EN).PDF
66,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-10-17,2019.0,2500.0,UTTIS INDUSTRIES SRL,Employment,"Art. 12 GDPR, Art. 13 GDPR, Art. 5 (1) c) GDPR, Art. 6 GDPR",Insufficient fulfilment of information obligations,https://www.dataprotection.ro/?page=A_patra_amenda&lang=ro
67,SWEDEN,Sweden,/flags/flag_sweden.png,Data Protection Authority of Sweden,2019-08-20,2019.0,18630.0,School in Skellefteå,Public Sector and Education,"Art. 5 (1) c) GDPR, Art. 9 GDPR, Art. 35 GDPR, Art. 36 GDPR",Insufficient legal basis for data processing,https://www.datainspektionen.se/globalassets/dokument/beslut/facial-recognition-used-to-monitor-the-attendance-of-students.pdf
68,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2019-08,2019.0,25000.0,Company in the medical sector,Health Care,"Art. 13 GDPR, Art. 35 GDPR, Art. 37 GDPR",Insufficient fulfilment of information obligations,https://www.dsb.gv.at/dam/jcr:784483fa-dafb-49bd-8a09-412bb15eb9f9/Newsletter_DSB_4_2019.pdf
69,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2019-07,2019.0,11000.0,Private person (soccer coach),Individuals and Private Associations,Art. 6 GDPR,Insufficient legal basis for data processing,https://www.derstandard.at/story/2000107377808/fussballerinnen-nackt-gefilmt-mostviertler-trainer-muss-strafe-zahlen
70,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2019-08-16,2019.0,60000.0,AVON COSMETICS,Industry and Commerce,Art. 6 GDPR,Insufficient legal basis for data processing,https://www.aepd.es/resoluciones/PS-00159-2019_ORI.pdf
71,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Data Protection Commision of Bulgaria (KZLD),2019-08-28,2019.0,2600000.0,National Revenue Agency,Public Sector and Education,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.cpdp.bg/index.php?p=news_view&aid=1519
72,BULGARIA,Bulgaria,/flags/flag_bulgaria.png,Data Protection Commision of Bulgaria (KZLD),2019-08-28,2019.0,511000.0,DSK Bank,"Finance, Insurance and Consulting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.cpdp.bg/index.php?p=news_view&aid=1514
73,LATVIA,Latvia,/flags/flag_latvia.png,Data State Inspectorate (DSI),2019-08-26,2019.0,7000.0,Online Services,Industry and Commerce,Art. 17 GDPR,Insufficient fulfilment of data subjects rights,https://www.dvi.gov.lv/lv/zinas/datu-valsts-inspekcija-piemero-7000-eiro-lielu-naudas-sodu-internetveikalam-par-personas-datu-apstrades-parkapumiem/
74,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2019-06-25,2019.0,15150.0,Unknown,Not assigned,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,https://www.naih.hu/files/NAIH-2019-2471-hatarozat.pdf
75,NORWAY,Norway,/flags/flag_norway.png,Norwegian Supervisory Authority (Datatilsynet),2019-04-29,2019.0,120000.0,Oslo Municipal Education Department,Public Sector and Education,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.datatilsynet.no/contentassets/f7246f38ff394d32bef6895bc65a4b4f/varsel-om-gebyr---oslo-kommune.pdf
76,PORTUGAL,Portugal,/flags/flag_portugal.png,Portuguese Data Protection Authority (CNPD),2019-02-05,2019.0,20000.0,Unknown,Not assigned,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.cnpd.pt/bin/decisoes/Delib/DEL_2019_21.pdf
77,PORTUGAL,Portugal,/flags/flag_portugal.png,Portuguese Data Protection Authority (CNPD),2019-03-25,2019.0,2000.0,Unknown,Not assigned,Art. 13 GDPR,Insufficient fulfilment of information obligations,https://www.cnpd.pt/bin/decisoes/Delib/DEL_2019_222.pdf
78,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Berlin,2019-09-19,2019.0,195407.0,Delivery Hero,Accomodation and Hospitality,"Art. 15 GDPR, Art. 17 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights,https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/pressemitteilungen/2019/20190919-PM-Bussgelder.pdf
79,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2019-09-10,2019.0,660000.0,Morele.net,Industry and Commerce,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://uodo.gov.pl/decyzje/ZSPR.421.2.2019
80,BELGIUM,Belgium,/flags/flag_belgium.png,Belgian Data Protection Authority (APD),2019-09-17,2019.0,10000.0,Merchant,Industry and Commerce,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,https://www.sudinfo.be/id141981/article/2019-09-19/un-commercant-recu-une-amende-de-10000-euros-pour-avoir-voulu-creer-une-carte-de
81,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),Unknown,,9600.0,"Restaurant (SANTI 3000, S.L.)",Employment,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,https://theword.iuslaboris.com/hrlaw/insights/spain-video-surveillance-and-data-protection-in-the-workplace
