Growth Rate of Per Capita GDP at constant 2020 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
31,Azerbaijan,,,,,,,,,,,,,,,,,,,,,-1.8,-23.6,-24.1,-20.8,-13.1,-0.2,4.4,8.8,6.4,10.1,8.9,9.6,10.2,9.0,24.8,32.7,23.4,9.3,8.0,3.8,-1.1,0.9,4.4,1.4,-0.1,-4.3,-0.9,0.8,0.5,-6.1,5.1,4.0,1.2,3.9
44,Bahamas,-1.5,-6.1,5.0,-18.6,-16.6,2.9,6.8,11.8,23.7,4.5,-10.8,4.9,1.9,12.3,3.1,0.1,1.3,0.6,4.9,-3.3,-5.8,-5.6,-1.6,1.4,2.7,2.6,5.9,3.2,5.7,2.8,1.4,1.5,-2.4,-0.4,2.2,1.2,0.0,-3.6,-5.4,0.2,-0.5,2.1,-3.8,1.0,0.2,-1.8,2.7,1.8,-1.3,-20.3,17.4,10.6,2.6,2.9
48,Bahrain,-1.0,5.9,8.0,2.9,-13.4,24.1,7.6,-1.0,-1.2,-1.9,-10.3,-10.7,4.8,1.2,-19.0,-2.4,-1.7,5.1,-1.2,1.1,1.2,4.7,9.9,-4.7,-0.7,0.7,-0.2,2.4,3.5,4.6,-2.0,-3.8,-1.4,-0.4,-0.2,0.7,2.7,1.1,-2.1,2.6,2.5,3.0,1.9,-0.1,-1.7,-0.5,1.2,1.0,2.9,-5.7,3.1,4.0,1.5,0.2
50,Bangladesh,-7.1,-15.6,0.4,6.5,-6.6,3.0,0.1,4.5,2.3,-1.6,0.8,-1.5,2.1,2.8,0.5,1.9,1.9,0.7,0.4,4.5,1.4,2.3,2.6,2.2,3.0,2.7,3.5,3.3,2.9,4.0,3.5,2.8,3.7,4.8,4.6,5.4,7.8,6.9,6.0,6.6,7.4,7.4,6.9,7.0,7.5,8.1,5.7,6.4,7.0,2.6,6.1,6.0,4.5,3.0
52,Barbados,4.0,1.1,1.1,-4.8,3.8,4.2,3.6,4.9,8.0,4.3,-2.2,-5.2,0.2,3.2,0.7,4.8,2.3,3.3,3.5,-3.5,-4.2,-7.3,0.9,3.5,1.9,3.9,4.7,3.7,0.3,4.6,-2.5,0.1,1.5,0.8,3.4,5.2,6.4,4.8,-1.2,1.8,-0.4,-3.1,-0.1,0.6,-1.0,1.2,0.4,-0.4,0.1,-17.5,7.8,15.9,1.8,3.3
112,Belarus,,,,,,,,,,,,,,,,,,,,,-1.5,-9.9,-7.8,-11.6,-10.2,3.1,11.9,8.9,3.9,6.3,5.3,5.7,7.8,12.2,10.2,10.7,9.1,10.6,0.4,7.9,5.7,1.9,0.9,1.7,-4.0,-2.6,2.6,3.3,1.9,0.2,3.5,-3.9,4.8,4.6
56,Belgium,3.4,4.9,5.9,4.0,-1.5,5.5,0.5,2.7,2.1,4.2,-0.5,0.5,0.2,2.4,1.6,1.8,2.2,4.5,3.3,2.9,1.4,1.1,-1.3,2.9,2.2,1.1,3.5,1.7,3.3,3.5,0.8,1.3,0.6,3.1,1.8,1.9,2.9,-0.3,-2.8,1.5,1.0,-0.4,-0.2,1.3,0.9,0.7,1.1,1.4,1.9,-5.2,5.9,3.6,0.6,0.8
84,Belize,4.9,3.1,-2.0,7.8,-1.0,-2.7,2.0,5.7,1.7,1.9,-1.2,-2.7,-4.5,-0.4,-1.3,2.3,15.6,13.4,17.4,12.9,9.4,10.4,4.0,-2.1,-1.8,-1.9,0.8,0.3,5.7,8.6,1.8,2.3,6.4,1.7,-0.7,1.6,0.5,-4.3,-3.1,-1.0,-2.3,1.7,1.9,1.7,0.6,-2.3,-4.1,-1.0,2.7,-14.6,16.6,7.2,-1.5,2.0
204,Benin,-0.2,7.3,1.9,4.3,-9.1,-1.1,1.7,-3.1,5.2,6.4,2.7,7.6,-7.1,4.8,4.4,-0.9,-4.4,-0.1,-3.7,5.7,1.1,-0.2,1.2,-1.7,7.8,9.9,11.0,9.0,10.4,2.7,2.2,1.5,0.3,1.3,-1.5,0.8,2.9,1.8,-0.7,-0.9,-0.1,1.7,4.1,3.3,-1.2,0.4,2.6,3.7,4.2,1.0,4.4,3.6,3.7,4.8
60,Bermuda,2.5,1.4,1.2,0.7,3.6,8.8,2.3,1.8,6.4,3.5,-4.1,-0.6,0.1,-2.7,3.5,3.8,3.3,0.5,-0.6,-3.4,-0.5,-3.4,1.7,0.9,4.8,3.4,4.0,3.1,2.6,2.3,6.7,-1.9,3.0,2.1,1.4,4.4,6.3,3.9,-3.4,0.3,-3.8,-5.2,-0.2,-3.6,0.9,-0.6,3.4,-0.8,-0.1,-7.2,4.2,6.3,5.0,1.1
